,District,State abbreviation,State name,Congressional district,Citizen voting-age population Estimate,Men Estimate,Men Percent of total,Women Estimate,Women Percent of total,Poverty universe,Below poverty level Estimate,Below poverty level Percent of total
248,NJ-6,NJ,New Jersey,6,502463,247252,49.2,255211,50.8,475444,37453,7.9
249,NJ-7,NJ,New Jersey,7,527076,254674,48.3,272402,51.7,520070,20223,3.9
250,NJ-8,NJ,New Jersey,8,425604,207269,48.7,218335,51.3,420513,47592,11.3
251,NJ-9,NJ,New Jersey,9,481499,230505,47.9,250994,52.1,479380,49046,10.2
252,NJ-10,NJ,New Jersey,10,496051,234506,47.3,261545,52.7,480735,65422,13.6
253,NJ-11,NJ,New Jersey,11,548734,261914,47.7,286820,52.3,536031,21125,3.9
254,NJ-12,NJ,New Jersey,12,505683,242465,47.9,263218,52.1,489002,36428,7.4
255,NM-1,NM,New Mexico,1,514775,249488,48.5,265287,51.5,508282,73116,14.4
256,NM-2,NM,New Mexico,2,484702,239241,49.4,245461,50.6,467832,84825,18.1
257,NM-3,NM,New Mexico,3,507907,246780,48.6,261127,51.4,499664,89207,17.9
258,NY-1,NY,New York,1,530436,257571,48.6,272865,51.4,519175,31046,6.0
259,NY-2,NY,New York,2,515987,252580,49.0,263407,51.0,512695,31530,6.1
260,NY-3,NY,New York,3,521235,248504,47.7,272731,52.3,512317,25261,4.9
261,NY-4,NY,New York,4,506457,240633,47.5,265824,52.5,497226,23349,4.7
262,NY-5,NY,New York,5,501784,232458,46.3,269326,53.7,493643,47721,9.7
263,NY-6,NY,New York,6,448065,212441,47.4,235624,52.6,443584,41855,9.4
264,NY-7,NY,New York,7,446196,214479,48.1,231717,51.9,439774,79879,18.2
265,NY-8,NY,New York,8,540660,233029,43.1,307631,56.9,534467,96821,18.1
266,NY-9,NY,New York,9,486880,218455,44.9,268425,55.1,483155,61616,12.8
267,NY-10,NY,New York,10,473542,221514,46.8,252028,53.2,458508,57042,12.4
268,NY-11,NY,New York,11,500998,237048,47.3,263950,52.7,495306,54201,10.9
269,NY-12,NY,New York,12,530252,250793,47.3,279459,52.7,513697,48742,9.5
270,NY-13,NY,New York,13,505003,232128,46.0,272875,54.0,497817,109993,22.1
271,NY-14,NY,New York,14,392398,194391,49.5,198007,50.5,380258,44703,11.8
272,NY-15,NY,New York,15,410819,184098,44.8,226721,55.2,405180,121432,30.0
273,NY-16,NY,New York,16,498243,223699,44.9,274544,55.1,485031,51192,10.6
274,NY-17,NY,New York,17,502861,241981,48.1,260880,51.9,489310,36680,7.5
275,NY-18,NY,New York,18,524373,258678,49.3,265695,50.7,505373,38590,7.6
276,NY-19,NY,New York,19,553713,276166,49.9,277547,50.1,527441,58461,11.1
277,NY-20,NY,New York,20,557251,266403,47.8,290848,52.2,532729,50906,9.6
278,NY-21,NY,New York,21,551303,283623,51.4,267680,48.6,516373,54118,10.5
279,NY-22,NY,New York,22,539437,265317,49.2,274120,50.8,510768,64552,12.6
280,NY-23,NY,New York,23,544564,267455,49.1,277109,50.9,510456,70217,13.8
281,NY-24,NY,New York,24,539797,260293,48.2,279504,51.8,514966,58584,11.4
282,NY-25,NY,New York,25,543698,257318,47.3,286380,52.7,523100,68088,13.0
283,NY-26,NY,New York,26,539694,255091,47.3,284603,52.7,523261,72530,13.9
284,NY-27,NY,New York,27,564383,278943,49.4,285440,50.6,545584,42730,7.8
285,NC-1,NC,North Carolina,1,566173,262291,46.3,303882,53.7,536378,89085,16.6
286,NC-2,NC,North Carolina,2,601142,291498,48.5,309644,51.5,593495,42953,7.2
287,NC-3,NC,North Carolina,3,579504,293180,50.6,286324,49.4,545792,72185,13.2
288,NC-4,NC,North Carolina,4,624834,294403,47.1,330431,52.9,596963,56009,9.4
289,NC-5,NC,North Carolina,5,572721,271575,47.4,301146,52.6,550670,76313,13.9
290,NC-6,NC,North Carolina,6,567392,268248,47.3,299144,52.7,555732,62094,11.2
291,NC-7,NC,North Carolina,7,613510,291864,47.6,321646,52.4,598995,81576,13.6
292,NC-8,NC,North Carolina,8,581896,280980,48.3,300916,51.7,560326,64418,11.5
293,NC-9,NC,North Carolina,9,561804,267655,47.6,294149,52.4,548599,56464,10.3
294,NC-10,NC,North Carolina,10,585102,277020,47.3,308082,52.7,572654,70692,12.3
295,NC-11,NC,North Carolina,11,604505,289081,47.8,315424,52.2,591536,74390,12.6
296,NC-12,NC,North Carolina,12,591843,275402,46.5,316441,53.5,581131,54940,9.5
297,NC-13,NC,North Carolina,13,579274,271691,46.9,307583,53.1,560122,65082,11.6
298,ND-At-large,ND,North Dakota,At-large,567351,291026,51.3,276325,48.7,546513,57163,10.5
