Line #,State abbreviation,State name,Congressional district, Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , White Estimate , White Margin of error (MOE) , White Percent of total , White Percent of total margin of error (MOE) , Black Estimate , Black Margin of error (MOE) , Black Percent of total , Black Percent of total margin of error (MOE) , Asian Estimate , Asian Margin of error (MOE) , Asian Percent of total , Asian Percent of total margin of error (MOE) , American Indian and Alaska Native Estimate , American Indian and Alaska Native Margin of error (MOE) , American Indian and Alaska Native Percent of total , American Indian and Alaska Native Percent of total margin of error (MOE) , Native Hawaiian and other Pacific Islander Estimate , Native Hawaiian and other Pacific Islander Margin of error (MOE) , Native Hawaiian and other Pacific Islander Percent of total , Native Hawaiian and other Pacific Islander Percent of total margin of error (MOE) , Some other race Estimate , Some other race Margin of error (MOE) , Some other race Percent of total , Some other race Percent of total margin of error (MOE) , Two or more  races Estimate , Two or more  races Margin of error (MOE) , Two or more  races Percent of total , Two or more  races Percent of total margin of error (MOE) , Hispanic Estimate , Hispanic Margin of error (MOE) , Hispanic Percent of total , Hispanic Percent of total margin of error (MOE) , White non-Hispanic Estimate , White non-Hispanic Margin of error (MOE) , White non-Hispanic Percent of total , White non-Hispanic Percent of total margin of error (MOE) 
113,FL,Florida,25," 453,055 "," 14,226 "," 407,167 "," 13,721 ", 89.9 , 1.0 ," 25,858 "," 3,589 ", 5.7 , 0.8 ," 4,428 "," 1,485 ", 1.0 , 0.3 , N , N , N , N , N , N , N , N ," 9,990 "," 2,500 ", 2.2 , 0.6 ," 4,862 "," 1,506 ", 1.1 , 0.3 ," 308,446 "," 11,409 ", 68.1 , 1.6 ," 116,776 "," 7,560 ", 25.8 , 1.3 
114,FL,Florida,26," 476,033 "," 12,380 "," 380,877 "," 12,113 ", 80.0 , 1.8 ," 54,631 "," 5,911 ", 11.5 , 1.2 ," 7,742 "," 1,989 ", 1.6 , 0.4 , N , N , N , N , N , N , N , N ," 21,939 "," 4,842 ", 4.6 , 1.0 ," 7,931 "," 2,299 ", 1.7 , 0.5 ," 321,023 "," 11,811 ", 67.4 , 1.3 ," 91,978 "," 3,970 ", 19.3 , 0.9 
115,FL,Florida,27," 464,604 "," 13,439 "," 405,950 "," 13,066 ", 87.4 , 1.3 ," 26,293 "," 4,304 ", 5.7 , 0.9 ," 9,428 "," 2,182 ", 2.0 , 0.5 , N , N , N , N , N , N , N , N ," 15,750 "," 4,067 ", 3.4 , 0.9 ," 6,918 "," 1,663 ", 1.5 , 0.4 ," 316,284 "," 13,931 ", 68.1 , 1.5 ," 113,859 "," 5,327 ", 24.5 , 1.3 
116,GA,Georgia,1," 550,713 "," 4,548 "," 360,901 "," 3,934 ", 65.5 , 0.6 ," 162,854 "," 3,356 ", 29.6 , 0.5 ," 5,574 "," 1,210 ", 1.0 , 0.2 , N , N , N , N , N , N , N , N ," 5,324 "," 1,922 ", 1.0 , 0.3 ," 14,172 "," 4,974 ", 2.6 , 0.9 ," 23,879 "," 1,904 ", 4.3 , 0.3 ," 347,055 "," 3,550 ", 63.0 , 0.6 
117,GA,Georgia,2," 498,322 "," 5,387 "," 223,803 "," 4,103 ", 44.9 , 0.6 ," 254,868 "," 4,030 ", 51.1 , 0.6 ," 4,892 "," 1,384 ", 1.0 , 0.3 , N , N , N , N , N , N , N , N ," 5,125 "," 1,417 ", 1.0 , 0.3 ," 7,955 "," 1,891 ", 1.6 , 0.4 ," 15,046 "," 1,635 ", 3.0 , 0.3 ," 217,005 "," 3,803 ", 43.5 , 0.6 
118,GA,Georgia,3," 548,941 "," 6,659 "," 385,375 "," 5,140 ", 70.2 , 0.9 ," 139,499 "," 6,027 ", 25.4 , 0.9 ," 7,484 "," 1,320 ", 1.4 , 0.2 , N , N , N , N , N , N , N , N ," 6,806 "," 1,969 ", 1.2 , 0.4 ," 7,837 "," 4,046 ", 1.4 , 0.7 ," 21,966 "," 2,742 ", 4.0 , 0.5 ," 372,018 "," 4,610 ", 67.8 , 0.8 
119,GA,Georgia,4," 527,938 "," 10,870 "," 157,491 "," 6,460 ", 29.8 , 1.1 ," 337,809 "," 9,153 ", 64.0 , 1.0 ," 16,867 "," 2,950 ", 3.2 , 0.6 , N , N , N , N , N , N , N , N ," 7,049 "," 2,225 ", 1.3 , 0.4 ," 8,048 "," 4,042 ", 1.5 , 0.8 ," 22,637 "," 3,145 ", 4.3 , 0.6 ," 146,089 "," 5,613 ", 27.7 , 1.0 
120,GA,Georgia,5," 587,385 "," 11,293 "," 200,392 "," 7,268 ", 34.1 , 1.2 ," 348,231 "," 11,916 ", 59.3 , 1.4 ," 15,960 "," 1,955 ", 2.7 , 0.3 , N , N , N , N , N , N , N , N ," 7,847 "," 2,092 ", 1.3 , 0.4 ," 13,397 "," 2,341 ", 2.3 , 0.4 ," 22,830 "," 3,290 ", 3.9 , 0.6 ," 187,309 "," 6,889 ", 31.9 , 1.1 
121,GA,Georgia,6," 496,468 "," 9,646 "," 366,714 "," 8,976 ", 73.9 , 1.4 ," 68,087 "," 6,862 ", 13.7 , 1.3 ," 43,350 "," 4,224 ", 8.7 , 0.8 ," 3,345 "," 1,178 ", 0.7 , 0.2 , N , N , N , N ," 4,973 "," 2,059 ", 1.0 , 0.4 ," 9,663 "," 1,899 ", 1.9 , 0.4 ," 28,564 "," 3,950 ", 5.8 , 0.8 ," 346,894 "," 8,780 ", 69.9 , 1.5 
122,GA,Georgia,7," 486,845 "," 13,303 "," 294,388 "," 9,063 ", 60.5 , 1.5 ," 107,049 "," 7,875 ", 22.0 , 1.4 ," 55,935 "," 4,665 ", 11.5 , 0.9 , N , N , N , N , N , N , N , N ," 15,465 "," 3,445 ", 3.2 , 0.7 ," 11,137 "," 2,310 ", 2.3 , 0.5 ," 52,988 "," 5,212 ", 10.9 , 1.0 ," 261,236 "," 7,375 ", 53.7 , 1.4 
123,GA,Georgia,8," 527,338 "," 5,981 "," 340,231 "," 4,200 ", 64.5 , 0.7 ," 166,078 "," 4,230 ", 31.5 , 0.7 ," 7,188 "," 2,371 ", 1.4 , 0.4 , N , N , N , N , N , N , N , N ," 4,882 "," 1,809 ", 0.9 , 0.3 ," 6,963 "," 2,145 ", 1.3 , 0.4 ," 17,792 "," 2,980 ", 3.4 , 0.5 ," 330,423 "," 3,324 ", 62.7 , 0.7 
124,GA,Georgia,9," 556,967 "," 6,033 "," 498,528 "," 5,271 ", 89.5 , 0.7 ," 36,889 "," 2,950 ", 6.6 , 0.5 ," 4,721 "," 1,063 ", 0.8 , 0.2 , N , N , N , N , N , N , N , N ," 6,713 "," 2,008 ", 1.2 , 0.4 ," 9,132 "," 3,206 ", 1.6 , 0.6 ," 32,477 "," 3,669 ", 5.8 , 0.6 ," 473,612 "," 3,942 ", 85.0 , 0.7 
125,GA,Georgia,10," 565,803 "," 9,414 "," 395,688 "," 7,916 ", 69.9 , 1.0 ," 144,717 "," 6,487 ", 25.6 , 1.0 ," 9,737 "," 2,149 ", 1.7 , 0.4 , N , N , N , N , N , N , N , N ," 5,767 "," 1,935 ", 1.0 , 0.3 ," 8,866 "," 4,050 ", 1.6 , 0.7 ," 18,640 "," 2,554 ", 3.3 , 0.4 ," 383,243 "," 7,508 ", 67.7 , 1.0 
126,GA,Georgia,11," 559,687 "," 9,450 "," 427,917 "," 6,893 ", 76.5 , 0.8 ," 92,086 "," 5,171 ", 16.5 , 0.8 ," 15,665 "," 2,486 ", 2.8 , 0.4 , N , N , N , N , N , N , N , N ," 9,017 "," 2,443 ", 1.6 , 0.4 ," 13,161 "," 2,976 ", 2.4 , 0.5 ," 34,432 "," 3,787 ", 6.2 , 0.6 ," 405,549 "," 6,028 ", 72.5 , 1.0 
127,GA,Georgia,12," 540,482 "," 5,219 "," 326,120 "," 4,532 ", 60.3 , 0.6 ," 187,815 "," 3,308 ", 34.7 , 0.5 ," 7,116 "," 1,521 ", 1.3 , 0.3 , N , N , N , N , N , N , N , N ," 7,063 "," 2,385 ", 1.3 , 0.4 ," 11,619 "," 4,261 ", 2.1 , 0.8 ," 23,019 "," 1,948 ", 4.3 , 0.3 ," 313,309 "," 3,692 ", 58.0 , 0.5 
128,GA,Georgia,13," 523,476 "," 12,223 "," 161,110 "," 6,577 ", 30.8 , 1.1 ," 323,677 "," 11,389 ", 61.8 , 1.5 ," 11,623 "," 2,862 ", 2.2 , 0.5 , N , N , N , N , N , N , N , N ," 13,914 "," 3,890 ", 2.7 , 0.7 ," 12,495 "," 5,882 ", 2.4 , 1.1 ," 33,506 "," 4,886 ", 6.4 , 0.9 ," 144,641 "," 6,004 ", 27.6 , 1.1 
129,GA,Georgia,14," 516,434 "," 4,331 "," 451,500 "," 3,849 ", 87.4 , 0.4 ," 49,867 "," 2,349 ", 9.7 , 0.4 , N , N , N , N , N , N , N , N , N , N , N , N ," 2,401 "," 1,047 ", 0.5 , 0.2 ," 8,668 "," 3,907 ", 1.7 , 0.8 ," 27,224 "," 3,079 ", 5.3 , 0.6 ," 427,598 "," 2,438 ", 82.8 , 0.6 
130,HI,Hawaii,1," 509,992 "," 8,672 "," 100,905 "," 4,440 ", 19.8 , 0.9 ," 13,731 "," 1,451 ", 2.7 , 0.3 ," 259,843 "," 6,686 ", 51.0 , 1.1 , N , N , N , N ," 29,853 "," 3,408 ", 5.9 , 0.7 , N , N , N , N ," 100,095 "," 5,646 ", 19.6 , 1.0 ," 41,023 "," 2,732 ", 8.0 , 0.5 ," 90,409 "," 3,681 ", 17.7 , 0.7 
131,HI,Hawaii,2," 506,514 "," 7,345 "," 183,246 "," 4,485 ", 36.2 , 0.8 ," 9,689 "," 2,103 ", 1.9 , 0.4 ," 131,542 "," 5,495 ", 26.0 , 1.0 , N , N , N , N ," 61,480 "," 4,186 ", 12.1 , 0.8 ," 6,185 "," 1,583 ", 1.2 , 0.3 ," 112,582 "," 5,764 ", 22.2 , 1.1 ," 47,808 "," 2,950 ", 9.4 , 0.6 ," 167,099 "," 4,092 ", 33.0 , 0.8 
132,ID,Idaho,1," 661,724 "," 6,207 "," 609,100 "," 6,730 ", 92.0 , 0.6 , N , N , N , N ," 8,316 "," 1,825 ", 1.3 , 0.3 ," 9,659 "," 2,304 ", 1.5 , 0.3 , N , N , N , N ," 13,001 "," 2,771 ", 2.0 , 0.4 ," 16,656 "," 4,824 ", 2.5 , 0.7 ," 45,043 "," 2,980 ", 6.8 , 0.4 ," 582,075 "," 6,291 ", 88.0 , 0.5 
133,ID,Idaho,2," 590,690 "," 6,236 "," 548,624 "," 6,091 ", 92.9 , 0.6 , N , N , N , N ," 7,651 "," 1,229 ", 1.3 , 0.2 ," 6,653 "," 2,377 ", 1.1 , 0.4 , N , N , N , N ," 10,710 "," 2,135 ", 1.8 , 0.4 ," 13,900 "," 3,842 ", 2.4 , 0.6 ," 54,863 "," 3,389 ", 9.3 , 0.5 ," 508,999 "," 5,355 ", 86.2 , 0.6 
134,IL,Illinois,1," 524,114 "," 13,385 "," 224,647 "," 6,879 ", 42.9 , 1.3 ," 274,362 "," 11,319 ", 52.3 , 1.2 ," 8,218 "," 1,846 ", 1.6 , 0.4 , N , N , N , N , N , N , N , N ," 9,689 "," 2,767 ", 1.8 , 0.5 ," 6,902 "," 1,656 ", 1.3 , 0.3 ," 38,099 "," 4,395 ", 7.3 , 0.8 ," 197,642 "," 6,186 ", 37.7 , 1.1 
135,IL,Illinois,2," 497,132 "," 10,186 "," 184,077 "," 7,446 ", 37.0 , 1.4 ," 286,699 "," 9,371 ", 57.7 , 1.3 ," 3,837 "," 1,182 ", 0.8 , 0.2 , N , N , N , N , N , N , N , N ," 13,687 "," 2,811 ", 2.8 , 0.6 ," 8,271 "," 2,655 ", 1.7 , 0.5 ," 47,560 "," 4,852 ", 9.6 , 0.9 ," 152,127 "," 5,816 ", 30.6 , 1.2 
136,IL,Illinois,3," 479,004 "," 11,273 "," 388,095 "," 9,201 ", 81.0 , 1.3 ," 28,953 "," 4,271 ", 6.0 , 0.9 ," 18,100 "," 2,921 ", 3.8 , 0.6 , N , N , N , N , N , N , N , N ," 33,685 "," 5,201 ", 7.0 , 1.0 ," 8,549 "," 1,968 ", 1.8 , 0.4 ," 119,520 "," 7,393 ", 25.0 , 1.3 ," 307,829 "," 7,614 ", 64.3 , 1.5 
137,IL,Illinois,4," 410,804 "," 10,402 "," 263,899 "," 9,551 ", 64.2 , 1.8 ," 21,445 "," 3,225 ", 5.2 , 0.8 ," 15,798 "," 2,723 ", 3.8 , 0.7 , N , N , N , N , N , N , N , N ," 94,954 "," 7,289 ", 23.1 , 1.6 ," 11,535 "," 2,346 ", 2.8 , 0.6 ," 235,867 "," 9,283 ", 57.4 , 1.6 ," 136,168 "," 6,841 ", 33.1 , 1.4 
138,IL,Illinois,5," 545,831 "," 13,594 "," 451,514 "," 10,639 ", 82.7 , 1.2 ," 17,468 "," 2,884 ", 3.2 , 0.5 ," 40,455 "," 4,691 ", 7.4 , 0.8 , N , N , N , N , N , N , N , N ," 21,802 "," 4,308 ", 4.0 , 0.7 ," 13,489 "," 2,346 ", 2.5 , 0.4 ," 85,662 "," 7,556 ", 15.7 , 1.2 ," 392,080 "," 9,733 ", 71.8 , 1.3 
139,IL,Illinois,6," 523,796 "," 7,397 "," 453,389 "," 7,798 ", 86.6 , 1.2 ," 13,529 "," 2,679 ", 2.6 , 0.5 ," 40,400 "," 4,579 ", 7.7 , 0.9 , N , N , N , N , N , N , N , N ," 8,646 "," 2,509 ", 1.7 , 0.5 ," 7,143 "," 1,619 ", 1.4 , 0.3 ," 36,875 "," 3,833 ", 7.0 , 0.7 ," 426,440 "," 8,498 ", 81.4 , 1.2 
140,IL,Illinois,7," 522,767 "," 13,446 "," 204,321 "," 7,298 ", 39.1 , 1.1 ," 255,621 "," 10,661 ", 48.9 , 1.5 ," 30,224 "," 4,037 ", 5.8 , 0.8 , N , N , N , N , N , N , N , N ," 22,351 "," 4,665 ", 4.3 , 0.9 ," 9,244 "," 1,800 ", 1.8 , 0.3 ," 61,198 "," 7,225 ", 11.7 , 1.3 ," 168,814 "," 7,116 ", 32.3 , 1.3 
141,IL,Illinois,8," 442,009 "," 9,089 "," 319,860 "," 10,353 ", 72.4 , 1.8 ," 24,958 "," 3,950 ", 5.6 , 0.9 ," 52,467 "," 5,745 ", 11.9 , 1.3 ," 2,941 "," 1,247 ", 0.7 , 0.3 , N , N , N , N ," 31,933 "," 5,958 ", 7.2 , 1.3 ," 8,978 "," 1,840 ", 2.0 , 0.4 ," 83,841 "," 7,577 ", 19.0 , 1.6 ," 272,278 "," 9,552 ", 61.6 , 1.9 
142,IL,Illinois,9," 498,242 "," 10,167 "," 378,283 "," 8,425 ", 75.9 , 1.1 ," 40,709 "," 4,369 ", 8.2 , 0.8 ," 53,819 "," 4,390 ", 10.8 , 0.9 , N , N , N , N , N , N , N , N ," 9,728 "," 2,518 ", 2.0 , 0.5 ," 13,558 "," 2,791 ", 2.7 , 0.5 ," 40,177 "," 4,497 ", 8.1 , 0.9 ," 350,915 "," 7,917 ", 70.4 , 1.2 
143,IL,Illinois,10," 468,255 "," 7,926 "," 359,174 "," 7,960 ", 76.7 , 1.1 ," 32,093 "," 2,136 ", 6.9 , 0.5 ," 40,923 "," 3,994 ", 8.7 , 0.9 , N , N , N , N , N , N , N , N ," 23,646 "," 4,053 ", 5.0 , 0.9 ," 9,998 "," 1,918 ", 2.1 , 0.4 ," 69,857 "," 5,590 ", 14.9 , 1.1 ," 317,181 "," 6,101 ", 67.7 , 1.0 
144,IL,Illinois,11," 472,244 "," 8,696 "," 350,208 "," 8,920 ", 74.2 , 1.5 ," 56,989 "," 5,013 ", 12.1 , 1.0 ," 28,548 "," 3,080 ", 6.0 , 0.6 , N , N , N , N , N , N , N , N ," 21,801 "," 4,031 ", 4.6 , 0.8 ," 12,108 "," 2,172 ", 2.6 , 0.5 ," 90,099 "," 6,836 ", 19.1 , 1.3 ," 285,959 "," 7,255 ", 60.6 , 1.4 
145,IL,Illinois,12," 528,398 "," 3,128 "," 425,034 "," 3,365 ", 80.4 , 0.4 ," 87,619 "," 4,213 ", 16.6 , 0.8 ," 4,299 ", 789 , 0.8 , 0.1 , N , N , N , N , N , N , N , N ," 2,915 ", 902 , 0.6 , 0.2 ," 7,612 "," 3,208 ", 1.4 , 0.6 ," 11,072 "," 1,665 ", 2.1 , 0.3 ," 417,471 "," 3,306 ", 79.0 , 0.4 
146,IL,Illinois,13," 539,012 "," 6,187 "," 457,815 "," 5,266 ", 84.9 , 0.6 ," 55,609 "," 2,909 ", 10.3 , 0.5 ," 12,809 "," 1,784 ", 2.4 , 0.3 , N , N , N , N , N , N , N , N ," 3,085 ", 986 , 0.6 , 0.2 ," 9,002 "," 3,069 ", 1.7 , 0.6 ," 13,293 "," 1,316 ", 2.5 , 0.2 ," 447,847 "," 4,860 ", 83.1 , 0.6 
147,IL,Illinois,14," 525,729 "," 7,412 "," 472,453 "," 8,429 ", 89.9 , 0.9 ," 19,037 "," 3,699 ", 3.6 , 0.7 ," 18,027 "," 2,895 ", 3.4 , 0.5 , N , N , N , N , N , N , N , N ," 7,266 "," 1,776 ", 1.4 , 0.3 ," 7,879 "," 1,800 ", 1.5 , 0.3 ," 47,421 "," 5,121 ", 9.0 , 1.0 ," 436,299 "," 8,186 ", 83.0 , 1.2 
148,IL,Illinois,15," 532,371 "," 4,362 "," 498,724 "," 4,329 ", 93.7 , 0.4 ," 23,257 "," 1,990 ", 4.4 , 0.4 ," 2,379 ", 741 , 0.4 , 0.1 , N , N , N , N , N , N , N , N , N , N , N , N ," 5,060 "," 2,359 ", 1.0 , 0.4 ," 8,780 "," 1,057 ", 1.6 , 0.2 ," 492,449 "," 4,054 ", 92.5 , 0.4 
149,IL,Illinois,16," 520,730 "," 4,681 "," 481,303 "," 3,850 ", 92.4 , 0.5 ," 18,598 "," 1,996 ", 3.6 , 0.4 ," 4,825 "," 1,063 ", 0.9 , 0.2 , N , N , N , N , N , N , N , N ," 6,132 "," 1,327 ", 1.2 , 0.3 ," 8,970 "," 2,606 ", 1.7 , 0.5 ," 34,243 "," 2,406 ", 6.6 , 0.4 ," 455,096 "," 3,349 ", 87.4 , 0.6 
150,IL,Illinois,17," 512,994 "," 5,263 "," 436,689 "," 4,695 ", 85.1 , 0.7 ," 56,123 "," 3,085 ", 10.9 , 0.6 ," 3,645 "," 1,199 ", 0.7 , 0.2 , N , N , N , N , N , N , N , N ," 5,888 "," 1,510 ", 1.1 , 0.3 ," 9,162 "," 1,782 ", 1.8 , 0.3 ," 30,558 "," 1,864 ", 6.0 , 0.3 ," 414,483 "," 4,135 ", 80.8 , 0.6 
151,IL,Illinois,18," 531,334 "," 6,741 "," 492,886 "," 5,977 ", 92.8 , 0.6 ," 20,368 "," 2,578 ", 3.8 , 0.5 ," 7,649 "," 1,402 ", 1.4 , 0.3 , N , N , N , N , N , N , N , N ," 1,979 ", 715 , 0.4 , 0.1 ," 7,367 "," 2,880 ", 1.4 , 0.5 ," 10,712 "," 1,397 ", 2.0 , 0.3 ," 484,911 "," 5,691 ", 91.3 , 0.6 
152,IN,Indiana,1," 537,218 "," 2,969 "," 388,801 "," 3,055 ", 72.4 , 0.6 ," 95,275 "," 1,505 ", 17.7 , 0.3 ," 5,621 "," 1,202 ", 1.0 , 0.2 , N , N , N , N , N , N , N , N ," 32,900 "," 3,196 ", 6.1 , 0.6 ," 12,837 "," 4,430 ", 2.4 , 0.8 ," 68,346 "," 2,291 ", 12.7 , 0.4 ," 359,444 "," 1,850 ", 66.9 , 0.4 
153,IN,Indiana,2," 522,778 "," 3,982 "," 464,810 "," 3,756 ", 88.9 , 0.5 ," 34,112 "," 3,504 ", 6.5 , 0.7 ," 4,240 ", 710 , 0.8 , 0.1 , N , N , N , N , N , N , N , N ," 8,190 "," 2,160 ", 1.6 , 0.4 ," 10,664 "," 3,612 ", 2.0 , 0.7 ," 30,045 "," 2,291 ", 5.7 , 0.4 ," 444,280 "," 2,798 ", 85.0 , 0.5 
154,IN,Indiana,3," 540,022 "," 2,746 "," 485,809 "," 2,515 ", 90.0 , 0.3 ," 31,233 "," 1,801 ", 5.8 , 0.3 ," 7,902 "," 1,231 ", 1.5 , 0.2 , N , N , N , N , N , N , N , N ," 4,083 ", 970 , 0.8 , 0.2 ," 8,785 "," 1,741 ", 1.6 , 0.3 ," 19,057 "," 1,674 ", 3.5 , 0.3 ," 471,761 "," 1,922 ", 87.4 , 0.4 
155,IN,Indiana,4," 567,094 "," 4,245 "," 519,827 "," 4,317 ", 91.7 , 0.6 ," 22,611 "," 1,517 ", 4.0 , 0.3 ," 9,335 "," 1,755 ", 1.6 , 0.3 , N , N , N , N , N , N , N , N ," 6,323 "," 2,025 ", 1.1 , 0.4 ," 8,502 "," 3,752 ", 1.5 , 0.7 ," 19,357 "," 2,196 ", 3.4 , 0.4 ," 507,113 "," 3,802 ", 89.4 , 0.6 
156,IN,Indiana,5," 573,500 "," 6,937 "," 495,800 "," 6,135 ", 86.5 , 0.7 ," 49,657 "," 4,035 ", 8.7 , 0.7 ," 13,525 "," 1,822 ", 2.4 , 0.3 , N , N , N , N , N , N , N , N ," 3,287 "," 1,577 ", 0.6 , 0.3 ," 10,171 "," 2,076 ", 1.8 , 0.4 ," 16,793 "," 2,381 ", 2.9 , 0.4 ," 482,778 "," 5,604 ", 84.2 , 0.8 
157,IN,Indiana,6," 549,035 "," 2,722 "," 521,923 "," 2,520 ", 95.1 , 0.3 ," 15,390 "," 2,505 ", 2.8 , 0.5 ," 3,001 "," 1,040 ", 0.5 , 0.2 , N , N , N , N , N , N , N , N ," 1,555 ", 746 , 0.3 , 0.1 ," 7,017 "," 2,880 ", 1.3 , 0.5 ," 7,943 "," 1,151 ", 1.4 , 0.2 ," 516,121 "," 2,325 ", 94.0 , 0.3 
158,IN,Indiana,7," 521,076 "," 6,956 "," 334,915 "," 6,123 ", 64.3 , 1.0 ," 153,947 "," 5,241 ", 29.5 , 0.9 ," 9,284 "," 1,940 ", 1.8 , 0.4 , N , N , N , N , N , N , N , N ," 8,171 "," 1,993 ", 1.6 , 0.4 ," 13,654 "," 5,488 ", 2.6 , 1.1 ," 27,661 "," 2,766 ", 5.3 , 0.5 ," 317,307 "," 5,139 ", 60.9 , 0.8 
159,IN,Indiana,8," 549,149 "," 2,287 "," 513,979 "," 2,287 ", 93.6 , 0.2 ," 24,085 "," 1,452 ", 4.4 , 0.3 ," 2,922 "," 1,054 ", 0.5 , 0.2 , N , N , N , N , N , N , N , N , N , N , N , N ," 6,394 "," 2,433 ", 1.2 , 0.4 ," 6,219 "," 1,294 ", 1.1 , 0.2 ," 509,455 "," 1,978 ", 92.8 , 0.3 
160,IN,Indiana,9," 575,308 "," 3,657 "," 537,099 "," 4,268 ", 93.4 , 0.4 ," 17,405 "," 2,580 ", 3.0 , 0.4 ," 9,208 "," 1,821 ", 1.6 , 0.3 , N , N , N , N , N , N , N , N ," 2,439 ", 990 , 0.4 , 0.2 ," 9,017 "," 3,170 ", 1.6 , 0.6 ," 10,686 "," 1,245 ", 1.9 , 0.2 ," 529,111 "," 4,283 ", 92.0 , 0.5 
161,IA,Iowa,1," 580,187 "," 2,876 "," 544,059 "," 2,364 ", 93.8 , 0.3 ," 18,913 "," 1,584 ", 3.3 , 0.3 ," 5,771 "," 1,083 ", 1.0 , 0.2 ," 2,913 ", 988 , 0.5 , 0.2 , N , N , N , N ," 2,226 ", 681 , 0.4 , 0.1 ," 6,003 "," 3,189 ", 1.0 , 0.5 ," 12,775 "," 1,241 ", 2.2 , 0.2 ," 534,607 "," 1,797 ", 92.1 , 0.4 
162,IA,Iowa,2," 581,525 "," 2,670 "," 543,484 "," 2,363 ", 93.5 , 0.4 ," 16,740 "," 2,003 ", 2.9 , 0.3 ," 8,292 "," 1,530 ", 1.4 , 0.3 , N , N , N , N , N , N , N , N ," 3,287 ", 974 , 0.6 , 0.2 ," 7,926 "," 1,564 ", 1.4 , 0.3 ," 22,758 "," 1,425 ", 3.9 , 0.2 ," 525,125 "," 1,727 ", 90.3 , 0.4 
163,IA,Iowa,3," 601,044 "," 3,898 "," 557,742 "," 2,864 ", 92.8 , 0.5 ," 18,169 "," 2,128 ", 3.0 , 0.3 ," 10,725 "," 2,120 ", 1.8 , 0.3 , N , N , N , N , N , N , N , N ," 3,156 "," 1,202 ", 0.5 , 0.2 ," 9,832 "," 3,786 ", 1.6 , 0.6 ," 24,306 "," 1,926 ", 4.0 , 0.3 ," 537,428 "," 1,922 ", 89.4 , 0.5 
164,IA,Iowa,4," 564,463 "," 2,859 "," 538,737 "," 2,127 ", 95.4 , 0.4 ," 7,067 "," 1,044 ", 1.3 , 0.2 ," 6,745 "," 1,027 ", 1.2 , 0.2 , N , N , N , N , N , N , N , N ," 2,747 ", 848 , 0.5 , 0.1 ," 6,482 "," 2,612 ", 1.1 , 0.5 ," 23,431 "," 1,264 ", 4.2 , 0.2 ," 519,370 "," 1,788 ", 92.0 , 0.4 
165,KS,Kansas,1," 502,712 "," 3,509 "," 459,774 "," 3,422 ", 91.5 , 0.5 ," 16,454 "," 1,505 ", 3.3 , 0.3 ," 5,479 "," 1,050 ", 1.1 , 0.2 , N , N , N , N , N , N , N , N ," 7,033 "," 1,733 ", 1.4 , 0.3 ," 11,137 "," 3,322 ", 2.2 , 0.7 ," 49,522 "," 2,637 ", 9.9 , 0.5 ," 421,084 "," 1,521 ", 83.8 , 0.5 
166,KS,Kansas,2," 538,594 "," 2,980 "," 479,401 "," 2,802 ", 89.0 , 0.3 ," 25,593 "," 2,935 ", 4.8 , 0.5 ," 4,770 ", 981 , 0.9 , 0.2 ," 9,172 "," 2,047 ", 1.7 , 0.4 , N , N , N , N ," 3,888 "," 1,009 ", 0.7 , 0.2 ," 16,061 "," 3,533 ", 3.0 , 0.7 ," 25,560 "," 1,781 ", 4.7 , 0.3 ," 462,082 "," 2,227 ", 85.8 , 0.4 
167,KS,Kansas,3," 534,532 "," 3,744 "," 453,444 "," 3,286 ", 84.8 , 0.5 ," 43,636 "," 2,537 ", 8.2 , 0.5 ," 17,327 "," 1,329 ", 3.2 , 0.2 , N , N , N , N , N , N , N , N ," 5,759 "," 1,421 ", 1.1 , 0.3 ," 12,194 "," 1,664 ", 2.3 , 0.3 ," 33,071 "," 2,422 ", 6.2 , 0.4 ," 429,303 "," 1,501 ", 80.3 , 0.5 
168,KS,Kansas,4," 515,676 "," 3,192 "," 437,657 "," 3,079 ", 84.9 , 0.5 ," 35,546 "," 1,747 ", 6.9 , 0.3 ," 11,977 "," 1,940 ", 2.3 , 0.4 ," 6,166 "," 2,213 ", 1.2 , 0.4 , N , N , N , N ," 10,061 "," 2,295 ", 2.0 , 0.4 ," 14,743 "," 4,583 ", 2.9 , 0.9 ," 38,949 "," 2,757 ", 7.6 , 0.5 ," 412,175 "," 1,278 ", 79.9 , 0.4 
169,KY,Kentucky,1," 552,530 "," 3,169 "," 500,034 "," 2,869 ", 90.5 , 0.3 ," 38,384 "," 3,300 ", 6.9 , 0.6 ," 2,432 "," 1,118 ", 0.4 , 0.2 , N , N , N , N , N , N , N , N , N , N , N , N ," 8,582 "," 3,197 ", 1.6 , 0.6 ," 10,548 "," 1,063 ", 1.9 , 0.2 ," 492,760 "," 2,674 ", 89.2 , 0.3 
170,KY,Kentucky,2," 577,362 "," 4,615 "," 530,370 "," 4,037 ", 91.9 , 0.4 ," 28,032 "," 3,529 ", 4.9 , 0.6 ," 4,163 "," 1,292 ", 0.7 , 0.2 , N , N , N , N , N , N , N , N ," 2,796 "," 1,232 ", 0.5 , 0.2 ," 9,872 "," 3,684 ", 1.7 , 0.6 ," 10,258 "," 1,331 ", 1.8 , 0.2 ," 524,442 "," 4,114 ", 90.8 , 0.4 
